GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
1282, , , , , , , , , 
1366, , , , , , , , , 
1368,408658047525,408658047525,408658047525,408658047525, , ,408658047525, , 
1369,001022,001022, , , , ,001022, , 
1370, , , , , , , , , 
1371,410668392219, , , , , ,410668392219, , 
1372, , , , , , , , , 
1373, , , , , , , , , 
1374, , , , , , , , , 
1375, , , , , , , , , 
1376,407909054343,407909054343, , , , ,407909054343, , 
1377, , , , , , , , , 
1378,411112761648 (20/4/24),411112761648 (20/4/24),411112761648 (20/4/24),411112761648 (20/4/24), , ,411112761648 (20/4/24), , 
1379, , , , , , , , , 
1380,410681331789, , , , , ,410681331789, , 
1381,036711, , , , , ,036711, , 
1382, , , , , , , , , 
1384,093832,093832, , , , ,093832, , 
1385,000856,000856,000856,000856, , ,000856, , 
1387,410620781636 (15/4/24), , , , , ,410620781636 (15/4/24), , 
1391,358228, , , , , ,358228, , 
1392, , , , , , , , , 
1393, , , , , , , , , 
1395,001074,001074,001074,001074, , ,001074, , 
1396, , , , , , , , , 
1398,407918030972,407918030972, , , , ,407918030972, , 
1399, , , , , , , , , 
1400,411010993721,411010993721, , , , ,411010993721, , 
1401, , , , , , , , , 
1402,563144,563144,563144,563144, , ,563144, , 
1404,444531530496,444531530496, , , , ,444531530496, , 
1405,000009,000009,000009,000009, , ,000009, , 
1406, , , , , , , , , 
1407, , , , , , , , , 
1408, , , , , , , , , 
1410,001424,001424, , , , ,001424, , 
1411,410706689740, , , , , ,410706689740, , 
1413, , , , , , , , , 
1415,551062, , , , , ,551062, , 
1416, , , , , , , , , 
1417, , , , , , , , , 
1418, , , , , , , , , 
1419,000023, , , , , ,000023, , 
1420, , , , , , , , , 
1422,000074, , , , , ,000074, , 
1424, , , , , , , , , 
1425,060703,060703, , , , ,060703, , 
1426, , , , , , , , , 
1427,000011,000011,000011,000011, , ,000011, , 
1431, , , , , , , , , 
1433,225341, , , , , ,225341, , 
1434, , , , , , , , , 
1435, , , , , , , , , 
1437,000017,000017, , , , ,000017, , 
1438, , , , , , , , , 
1439, , , , , , , , , 
1440, , , , , , , , , 
1441, , , , , , , , , 
1442,448923,448923, , , , ,448923, , 
1443, , , , , , , , , 
1444,N142243048536987, , , , , ,N142243048536987, , 
1446,071981,071981, , , , ,071981, , 
1447, , , , , , , , , 
1450, , , , , , , , , 
1451, , , , , , , , , 
1452, , , , , , , , , 
1455,UPI=412434954911=8199 (3/5/24)+UPI=449717959828=105 (10/5/24), , , , , ,UPI=412434954911=8199 (3/5/24)+UPI=449717959828=105 (10/5/24), , 
1457,407914409143, , , , , ,407914409143, , 
1459, , , , , , , , , 
1460,195712,195712,195712,195712, , ,195712, , 
1463,UPI=411485489891=8129 (23/4/24)+UPI=411679127667=50(25/4/24), , , , , ,UPI=411485489891=8129 (23/4/24)+UPI=411679127667=50(25/4/24), , 
1465,000080,000080, , ,000080, ,000080, , 
1466,000548,000548, , , , ,000548,000548, 
1468,000262,000262, , ,000262, ,000262, , 
1473,414285154840,414285154840, , ,414285154840, ,414285154840, , 
1475,414324012831,414324012831, , ,414324012831, ,414324012831, , 
1478,AXOMB14601344109, , , ,AXOMB14601344109, ,AXOMB14601344109, , 
1479,409457179522 (3/4/24),409457179522 (3/4/24),409457179522 (3/4/24),409457179522 (3/4/24), , ,409457179522 (3/4/24), , 
1480,409457179522 (3/4/24),409457179522 (3/4/24),409457179522 (3/4/24),409457179522 (3/4/24), , ,409457179522 (3/4/24), , 
1482,000018,000018, , ,000018, ,000018, , 
1483,000046,000046, , ,000046, ,000046, , 
1484,251342, , , , , ,251342, , 
1485,415663732601,415663732601, , ,415663732601, ,415663732601, , 
1486,938610,938610, , ,938610, ,938610, , 
1487,414330735876,414330735876, , ,414330735876, ,414330735876, , 
1488,085634,085634, , ,085634, ,085634, , 
1489,955604,955604, , , , ,955604,955604, 
1491,007478,007478, , ,007478, ,007478, , 
1492, , , , , , , , , 
1493,912034,912034, , ,912034, ,912034, , 
1494,155781,155781,155781,155781, , ,155781, , 
1496,752427,752427, , ,752427, ,752427, , 
1498,414215725937,414215725937, , ,414215725937, ,414215725937, , 
1499,000026,000026, , ,000026, ,000026, , 
1501,000016,000016, , ,000016, ,000016, , 
1502,000085,000085, , , , ,000085, , 
1503,075933,075933, , ,075933, ,075933, , 
1505, , , , , , , , , 
1507,000017,000017, , ,000017, ,000017, , 
1511,451484609133,451484609133, , ,451484609133, ,451484609133, , 
1515,414850801207,414850801207, , ,414850801207, ,414850801207, , 
1516,255550,255550, , , , ,255550, , 
1518,000045, , , , , ,000045, , 
1519, , , , , , , , , 
1520,872764,872764, , ,872764, ,872764, , 
1521,076847, , , , , ,076847, , 
1522, , , , , , , , , 
1530,000812,000812, , ,000812, ,000812, , 
1532,UPI=414211666162=5000 (21/5/24)+UPI=414282413558=12330 (21/5/24),UPI=414211666162=5000 (21/5/24)+UPI=414282413558=12330 (21/5/24), , ,UPI=414211666162=5000 (21/5/24)+UPI=414282413558=12330 (21/5/24), ,UPI=414211666162=5000 (21/5/24)+UPI=414282413558=12330 (21/5/24), , 
1539,000047,000047, , ,000047, ,000047, , 
1634,002399,002399, , ,002399, ,002399, , 
1654,717138,717138, , , , ,717138, , 
1661,414323551358,414323551358, , ,414323551358, ,414323551358, , 
1664, , , , , , , , , 
1674,087989,282628, , , , ,087989, , 
1675,602167,602167, , ,602167, ,602167, , 
1679,447560052818 (18/4/24),447560052818 (18/4/24), , , , ,447560052818 (18/4/24), , 
1692, , , , , , , , , 
1699,000612,000612, , ,000612, ,000612, , 
1700,000612,000612, , ,000612, ,000612, , 
1714,000124,000124, , ,000124, ,000124, , 
1724,241275,241275, , ,241275, ,241275, , 
1754,201486,201486,201486,201486, , ,201486,201486,201486
1763,089953,089953, , , , ,089953, , 
1771, , , , , , , , , 
1821,408299470338,408299470338,408299470338,408299470338, , ,408299470338, , 
1822,000106,000106, , , , ,000106, , 
1823,000107,000107, , , , ,000107, , 
1825,407936395058,407936395058, , , , ,407936395058, , 
1826,410693538719, , , , , ,410693538719, , 
1827,410774384765,410774384765,410774384765,410774384765, , ,410774384765, , 
1829,KKBKH24079955340, , , , , ,KKBKH24079955340, , 
1830,SBIN424096964381, , , , , ,SBIN424096964381, , 
1831,000041,000041,000041,000041, , ,000041, , 
1832,452415428400, , , , , ,452415428400, , 
1833,434657,434657, , ,434657, ,434657, , 
1835, , , , , , , , , 
1836,715411, , , , , ,715411, , 
1837,002999,002999, , , , ,002999, , 
1838,410774469084, , , , , ,410774469084, , 
1840,117730,117730, , ,117730, ,117730, , 
1841,001716, , , ,001716, ,001716, , 
1842, , , , , , , , , 
