GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
1282,0,0,0,0,0,0,0,0,0
1368,1,1,1,1,0,0,1,0,0
1369,1,1,0,0,0,0,1,0,0
1370,0,0,0,0,0,0,0,0,0
1371,1,0,0,0,0,0,1,0,0
1376,1,1,0,0,0,0,1,0,0
1378,1,1,1,1,0,0,1,0,0
1380,1,0,0,0,0,0,1,0,0
1381,1,0,0,0,0,0,1,0,0
1384,1,1,0,0,0,0,1,0,0
1385,1,1,1,1,0,0,1,0,0
1387,1,0,0,0,0,0,1,0,0
1391,1,0,0,0,0,0,1,0,0
1395,1,1,1,1,0,0,1,0,0
1398,1,1,0,0,0,0,1,0,0
1400,1,1,0,0,0,0,1,0,0
1402,1,1,1,1,0,0,1,0,0
1404,1,1,0,0,0,0,1,0,0
1405,1,1,1,1,0,0,1,0,0
1406,0,0,0,0,0,0,0,0,0
1410,1,1,0,0,0,0,1,0,0
1411,1,0,0,0,0,0,1,0,0
1415,1,0,0,0,0,0,1,0,0
1419,1,0,0,0,0,0,1,0,0
1422,1,0,0,0,0,0,1,0,0
1425,1,1,0,0,0,0,1,0,0
1427,1,1,1,1,0,0,1,0,0
1433,1,0,0,0,0,0,1,0,0
1437,1,1,0,0,0,0,1,0,0
1442,1,1,0,0,0,0,1,0,0
1444,1,0,0,0,0,0,1,0,0
1446,1,1,0,0,0,0,1,0,0
1455,1,0,0,0,0,0,1,0,0
1457,1,0,0,0,0,0,1,0,0
1460,1,1,1,1,0,0,1,0,0
1463,1,0,0,0,0,0,1,0,0
1465,1,1,0,0,1,0,1,0,0
1466,1,1,0,0,0,0,1,1,0
1468,1,1,0,0,1,0,1,0,0
1473,1,1,0,0,1,0,1,0,0
1475,1,1,0,0,1,0,1,0,0
1478,1,0,0,0,1,0,1,0,0
1479,1,1,1,1,0,0,1,0,0
1480,1,1,1,1,0,0,1,0,0
1482,1,1,0,0,1,0,1,0,0
1483,1,1,0,0,1,0,1,0,0
1484,1,0,0,0,0,0,1,0,0
1485,1,1,0,0,1,0,1,0,0
1486,1,1,0,0,1,0,1,0,0
1487,1,1,0,0,1,0,1,0,0
