42,-,Excellence Social Studies: Based on the Latest Syllabus,"Kumar, R and Bishnoi, P",Prachi India Pvt. Ltd.,-,-,1st Standard,-,-,100
43,-,ABC of Social Studies,"Bhanot, DP and Sangar, S",Holy Faith International,-,-,1st Standard,-,-,65
44,-,Innovative Social Studies: An Environment approach,"Bansal, SK and Jain A",Tarun Publiactions,-,-,1st Standard,-,-,100
45,-,Learing Social Studies: An Environment Approach,add,Jeevandeep Prakashan Pvt. Ltd.,-,-,1st Standard,-,-,28
46,-,Spark Social Studies,Neeraj and Unni V,Jeevandeep Prakashan Pvt. Ltd.,-,-,1st Standard,-,-,33
47,-,Simple Social Studies,add,Ratna Sagar Pvt. Ltd.,-,-,1st Standard,-,-,55
48,-,Social Studies,add,Vikranth Publishers,-,-,1st Standard,-,-,35
49,-,Steps to Social Science,"Garg, KA",Divine Child Book Trust,-,-,1st Standard,-,-,80
50,-,Trek Primary Social Studies,"Gupta, V",Oxford University Press,-,-,1st Standard,-,-,89
51,-,Understanding Social Studies,"Kumar, V and Malhotra, R",Goyal brothers Prakashan,-,-,1st Standard,-,-,30
52,-,Beginner''s Social Studies,Paul T,Asia Book House,-,-,1st Standard,-,-,77
53,-,Environmenatal Studies,"Shrama, S",Inspiration Publication,-,-,1st Standard,-,-,70
54,-,Social Studies,add,Navneet Prakashan India Ltd.,-,-,1st Standard,-,-,70
55,-,Getting Ahead in Social Studies 1,"Mailk, S and Sahgal A",Orient BlackSwan Pvt.Ltd,-,-,1st Standard,-,-,20
56,-,ABC of Social Studies,"Bhanot, DP and Sangar, S",Holy Faith International,-,-,1st Standard,-,-,85
57,-,ABC of Social Studies,"Bhanot, DP and Sangar, S",Holy Faith International,-,-,1st Standard,-,-,65
58,-,Simple Social Studies,add,Ratna Sagar Pvt. Ltd.,-,-,1st Standard,-,-,60
59,-,Getting Ahead in Social Studies,"Malik, S and Sahgal A",Orient BlackSwan Pvt.Ltd,-,-,1st Standard,-,-,135
60,-,The Joy Of Social Studies,"Arathoon, A and Roy A",Frank Bros & Co.,-,-,1st Standard,-,-,89
61,-,Trek Primary Social Studies,"Gupta, V",Oxford University Press,-,-,1st Standard,-,-,93
62,-,My Book of Social Studies,"Datta, P",Amit Prakashan,-,-,1st Standard,-,-,75
63,-,Social Studies,add,Navneet Prakashan India Ltd.,-,-,1st Standard,-,-,75
64,-,Social Studies:An Environmental Approach,"Gupta, SC and Mathew, A",Frank Bros & Co.,-,-,1st Standard,-,-,94
65,-,Begineer''s Social Studies : Introductory,"Jos, KV and JOB, S",Asia Book House,-,-,1st Standard,-,-,56
66,-,Social Studies,add,Vikranth Publishers,-,-,1st Standard,-,-,0
