AUTHOR,TOTAL BOOKS,BOOK TITLES
 Arnold Leunes,1,"Play ,stronger,better happier"
 Chattopadhyay Bankimchand,2,"Anandmath (Hindi),Devi chhodhrani (Hindi)"
 Chattopadhyay Sharadchand,1,Devdas(Hindi)
 Christian David,2,"A practical english grammar,Origin story"
" Dalal, Roshen",2,"Puffin history of India for children, 3000 BC - AD 1947, Vol-1,Puffin history of India for children, 3000 BC - AD 1947, Vol-2"
-,2455,"  G K magic, Biology,`365 days general knowledge 6,`Katha Sangam 4,`Know for sure :general knowledge 7,`New voices 8,`Science track 6,`The salt in life 8,10 facinating facts about Dinasaurs,10 sample question paper cbse exam 2016: sanskrit, term 2, class 10,100 Indians who made history,100 inventions that made history,100% Success sample papers in English Communicative , term 2, class  9,100% Success sample papers in English Communicative , term 2, class 10,100% Success sample papers in Mathematics, term 2, class 10,100% Success sample papers in Social Science, term 2, class 10,100% sucess sample question papers in Social Science term 1, class 10,1001 days the shaped world,1001 questions and answers,101 Great Indian Authors and poets,101 Great Indian Monuments,101 great Indian scientists,101 great Indian sports stars,15 Sample papers english communicative,15 sample papers Mathematics,15 sample question papers in Accountancy, class 12,20+ sample papers science,20+ sample papers social science,36 series CBSE pa"
A.P.J.Abdul Kalam,2,"Ignited Minds,Turning Points"
"Abbey, N",1,LifeLine A Science Book
"Abbey, N.",3,"Lifeline : A Science Textbook,Lifeline : A Science Textbook,Power House : Current of Knowledge"
"Abhijeet,M.",3,"Start up Mathematics,Start up mathematics 5,Start up Mathematics 8"
"Abhijit, M",7,"Start Up Mathematics,Start Up Mathematics,Start Up Mathematics,Start Up Mathematics,Start Up Mathematics,Start up Mathematics 5,Start Up Mathematics 8"
"Abhijit, Monicaa",6,"Start up mathematics,Start up mathematics-,Start up mathematics, 3rd ed.,Start up mathematics, 3rd ed.,Start up mathematics, 3rd ed.,Start up mathematics, 3rd ed."
"Achar, M S and Aguiar, G",2,"Golden Grammar,Golden Grammar"
add,1088," Jagadis chandra bose,100 percent biology 11,100 percent biology 12,100 percent chemistry 11,100 percent mathematics 11,100 percent mathematics 12,100 percent mathematics CBSE,100 percent physics 11,100 percent physics 12,100 percent science  9,15 Sample question papers science class 10,15 Sample question papers social science class 10,3 in 1 Champions of change,3 in 1 Maratha bravehearts,3 in 1 Tales from the desert,3 in 1 The sons of the pandavas,3 in 1 Vishnu the saviour,365 days,A better you 1,A better you 10,A better you 2,A better you 3,A better you 3,A better you 4,A better you 5,A better you 6,A better you 6,A better you 7,A better you 7,A better you 8,A better you 8,A better you 9,A complete course in mathematics 10,A complete course in mathematics 9,A nation awakes: the march to freedom,A New Approach to Composite mathematics,ABC of Biology: Lab Manual,ABC of Physics: Lab manual,ABC of Science and technology: Lab Manual,ABC of Social Studies,ABD's Bull's eye business studies 12 term1,Active English,"
"Agaewala, S.K.",1,Core Economics
"Agarwal, A., Gautam, U S., and Khosla, R K",1,Business Studies
"Agarwal, Amit M.",3,"Differential calculus,Differential calculus,Integral Calculus"
"Agarwal, K.",2,"The world Around me,Vyaakran pushp 5"
"Agarwal, T",1,Sample Question Papers Mathematics Term-1
"Aggarwa, V. P.; Maheshwari, S. C.",1,Katha sarovar 6
Aggarwal D.K.,1,Objective Physics for JEE mains
Aggarwal M.,1,Log on  to computer
Aggarwal R.S; Aggarwal V,2,"Companion Biology 12,Mathematics 10"
Aggarwal Sandeep,2,"Standard  Mathematics 7,Standard Mathematics 5"
"Aggarwal, A",1,Empowering Mathematics
"Aggarwal, AS",1,Mathematics
"Aggarwal, K and Gowel, M",4,"Self-Learning English Course with Activities,Self-Learning English Course with Activities,Self-Learning English Course with Activities,Self-Learning English Course with Activities: A Simple way to Learn, Speak and Write Correct English"
"Aggarwal, K and Gupta, D",5,"Mathematics: Laboratory Manual,Together with Mathematics,Together with Mathematics Laboratory Manual,Together with Mathematics Laboratory Manual,Viva Voce & Mental Maths"
"Aggarwal, M",1,Lon On To computers
"Aggarwal, M .L.",2,"Laboratory manual mathematics: class 10,Laboratory manual mathematics: class 9"
"Aggarwal, M and Jahar, M",1,Log on to Computers
"Aggarwal, M L",11,"Laboratory Manual Mathematics,Laboratory Manual Mathematics,Laboratory manual: Mathematics,Laboratory manual: Mathematics,Laboratory Mathematics,Learning Mathematics,Mathematics,Mathematics,Mathematics,Mathematics including Question Bank,Mathematics: Laboratory Manual"
"Aggarwal, M.",3,"Log on to Computer,Log on to Computers,What''s What : Book of general Knowledge Life skill and Brain-teacher"
