CLASS,DIVISION,MALE,FEMALE,TOTAL,GEN,SC,ST,OBC,OTHERS
NUR,A,20,20,40,39,0,0,1,0
NUR,B,21,20,41,37,1,0,3,0
NUR,C,20,20,40,36,1,1,2,0
JR.KG,A,0,2,2,2,0,0,0,0
JR.KG,B,1,1,2,2,0,0,0,0
JR.KG,C,1,1,2,2,0,0,0,0
JR.KG,D,0,1,1,1,0,0,0,0
SR.KG,B,0,1,1,0,0,0,1,0
SR.KG,D,0,1,1,1,0,0,0,0
1,A,5,4,9,3,4,1,1,0
1,B,3,3,6,0,3,1,2,0
1,C,3,8,11,4,5,0,2,0
1,D,2,3,5,2,3,0,0,0
2,B,0,1,1,0,1,0,0,0
4,B,0,1,1,1,0,0,0,0
5,B,1,0,1,0,1,0,0,0
6,D,2,0,2,2,0,0,0,0
8,A,0,1,1,1,0,0,0,0
9,B,0,2,2,2,0,0,0,0
9,C,1,1,2,2,0,0,0,0
11 COMM,A,0,1,1,1,0,0,0,0
11 COMM,B,1,1,2,2,0,0,0,0
11 SCI,A,2,4,6,6,0,0,0,0
