Author,Book Name,Accession No
 Arnold Leunes,"Play ,stronger,better happier",10923
 Chattopadhyay Bankimchand,Anandmath (Hindi),10915
 Chattopadhyay Bankimchand,Devi chhodhrani (Hindi),10916
 Chattopadhyay Sharadchand,Devdas(Hindi),10912
 Christian David,Origin story,9524
 Christian David,A practical english grammar,9929
" Dalal, Roshen","Puffin history of India for children, 3000 BC - AD 1947, Vol-2",4712
" Dalal, Roshen","Puffin history of India for children, 3000 BC - AD 1947, Vol-1",4711
-,Brainwave: a book of general knowledge 6,4078
-,"Hindi  : Perfect sample papers, SA-1, Term-1",5406
-,"Social science : Perfect sample papers, SA-1, Term-1",5408
-,All in one social science,4076
-,"Science : Perfect sample papers, SA-1, Term-1",5407
-,Foundation science physics 10,4593
-,"Sample papers: Social Science, term -2, class 10",5702
-,Living science 8,5185
-,Mathematics workbook cum practice book 8,5183
-,"Social science : Perfect sample papers, SA-1, Term-1",5404
-,INFORMATION TECHNOLOGY 10,4349
-,There's a mouse in the house,4347
-,Science millennium,5182
-,"Science : Perfect sample papers, SA-1, Term-1",5403
-,Hands on maths 6,5180
-,"English communicative: Perfect sample papers, SA-1, Term-1",5402
-,Eureka plus 6,5400
-,"Science, Term-2",5337
-,Progress in computer science with python 11,4972
-,English Grammar 7,3874
-,Our world then and now 8,4590
-,World's best mystery and detective stories,4970
-,English Grammar and Composition,4509
-,Mathematics 7,4969
-,Knowledge +,4967
-,Maths bliss 8,3880
-,Focus science 6,5397
-,Mathematics 7,3881
-,Extra marks english communicative,4335
-,Hansel and gretel,4331
-,Genius Kidz : Mathematics 6,4984
-,Sample papers solved: Accountancy,5396
-,Madhurima : pathyapustak 6,4987
-,Sample papers solved: Chemistry,5395
-,Great works of Mahatma Gandhi,3886
-,Max marks question bank English 10,4910
-,Sample papers solved: Economics,5393
-,Sample papers solved: Biology,5392
-,"Sample papers solved: Maths, SA term-1",5391
-,"Sample papers solved: Sciecne, SA term-1",5390
-,Information technology,4965
-,Hindi reader 5,4891
-,The magical turtle,4583
-,Living science 6,5388
-,Enhance our knowledge 6,5387
-,Elementary mental mathematics 8,5174
-,Junior english dictionary,4992
-,Three in one science 10,5386
-,36 series paper bank 2020 examination,3893
-,Examkit in English 8,4918
-,Nayi aashaye : pathmala 6,4993
-,The gruffalos child,4582
-,"100% sucess sample question papers in Social Science term 1, class 10",5680
-,Amrut hindi pathmala,4301
-,Business Studies; project work,5382
-,The dust storm,4580
-,"Yes success hindi: sample papers, term-1",5380
-,School Science 8,4892
-,Informatics practices with Python 12,4961
-,Living science 6,5331
-,`Science track 6,5330
-,Mathematics 9,3901
-,Mathematics workbook : practice material 6,4998
-,CBSE Mathematics 6,5378
-,Active Grammar,3903
-,The magic mare,4577
-,Super GK,4975
-,Heromice:the perilous plants,5004
-,"Hidni, Full Marks",5372
-,Earth and the universe,4574
-,"Hidni, Full Marks",5371
-,All in one social science,4959
-,"Together with mathemetics with solution, Term-1",5368
-,Information technology,4958
-,Stay hungry stay foolish,4956
-,xam idea Hidni-Course B,5327
-,"English communicative: Perfect sample papers, SA-1, Term-1",5364
-,That's right 6,4955
-,"English communicative: Perfect sample papers, SA-1, Term-1",5363
-,Science 6,4917
-,English Grammar 7,3913
-,Maths express 8,5167
-,Thea Stilton and the riddle of the ruins,5005
-,NCERT Science practice book 8,5006
-,Introductory Micro Economics 11,5007
-,100 inventions that made history,4573
-,Science : workbook,5356
-,Mathspark 8,5165
-,36 series paper bank 2020 examination,5164
-,Vyakaran sopan: hindi course- B,5324
-,Maduram 5,4270
-,"Yes success hindi: sample papers, term-1",5322
-,"Hindi: Perfect sample papers- Course B , SA-1, Term-1",5355
-,Compact science 6,5320
-,"Hindi: Perfect sample papers- Course B , SA-1, Term-1",5354
-,Grammar Candy 7,3922
-,Bull's eye business studies 12,4954
-,Computer science with C++ vol 1,4952
-,Finding dory än enchanting adventure,4572
-,Count on tips 7,5018
-,Value education 5,4421
-,Mathematics: Additional Practice 8,5159
-,Fairy hill: ruby and the magic garden,4571
-,Essentials of English Grammar 7,3930
-,The power of your subconscious,4951
-,Scintillating Science,4894
-,"Xam idea science, Term-1",5315
-,Discover Science 8,4895
-,Language Structure 7,3934
-,Functional english grammar and composition,4950
-,Skill Enhancer in English 7,3936
-,Chemistry part II :textbook for class 12,4427
-,Live and let live,4428
-,Inquisitive Science 8,4896
-,The salt in life 5,4429
-,Pocket French english dictionary,5410
-,Search and find GK,4948
-,Knowledge cafe,4945
-,New mathematics 6,4233
-,Spot light on General Knowledge 6,4228
-,New maths time 5,4446
-,Suyasha Hindi Pathyapustak,4556
-,All in one Social science  term -1,4931
-,Accountancy:accounting for companiesand not for profit organisations part A,4193
-,Practice mathematics 8,5155
-,Growing with Grammar 7,5152
-,Introductory macroeconomics,4748
-,Examkit in English 7,4911
-,Aromatic General knowledge,4928
-,Maths spark 5,3857
-,Creative social science 9,4747
-,"Complete works of Swami Vivekananda, Vol-2",5304
-,Gyanodaya Pathyapustak,4517
-,Learnwell science 7,4168
-,Learning mathematics 7,4164
-,1001 days the shaped world,5301
-,Bhasha Mani Textbook,4547
-,New maths time,5151
-,Science 6,4163
-,Social science 8,4743
-,On the hisotry of the world this in 366 days day,5300
-,15 Sample papers english communicative,4927
-,Excel in Physics,4741
-,Mathematics 5,3858
-,New era physics part 1,6056
-,Visual dictionary,5297
-,"Bravia best resoursed audio visual integrated assignment: English : Reading, writing, grammar",4772
-,Madhup Hindi Pathmala,4774
-,CPA Maths 8,5150
-,Value education 5,5296
-,Know how General knowledge 6,4926
-,Madhup Hindi Pathmala,4775
-,The Grammarite 7,5147
-,4776,4776
-,365 stories Aroun the world,4732
-,What's what 6,4051
-,Ocean 6,4050
-,Sample papers social science,4151
-,Bible (Hindi),4730
-,Contemporary India II: textbook in geography for class 10,5293
-,Milligascar 6,4150
-,Magic with English Grammar 7,5146
-,Active teach : my canvas 8,5290
-,Physics: super easy science,4149
-,Ramayana(Hindi),4724
-,Oswaal sample papers Mathematics,4148
-,Growing with Grammar 7,5142
-,Ramayana(English),4723
-,Mahabharat for Children(English),4722
-,Mahabharat for Children(Hindi),4721
-,English Grammar,4544
-,Grammar Forever 7,5137
-,Excelling 7,5136
-,Whay's what,4925
-,Examkit in English 6,4126
-,The Grammar Connect,4542
-,Parivesh 5,4923
-,Life is what you make it,4123
-,15 sample papers Mathematics,4117
-,GK smart 6,4041
-,Enjoying Grammar,4510
-,The magical lamp,4540
-,Mathematics part 1:textbook for class 12,4539
-,"Mathematics : Perfect sample papers, SA-1, Term-1",5409
-,Focus science 8,4114
-,Pathway to Grammar,4535
-,Growing with Grammar,4534
-,"Xam idea Mathematics, Term-1",5282
-,English language and literature 10,4113
-,Social Science 10,6055
-,Makrand Hindi Pathyapustak,6054
-,Language Structure,6053
-,Junior encyclopedia with awesome facts,4707
-,Magic of maths: class 8,6043
-,Start up science,6042
-,Makrand Hindi Pathyapustak,6040
-,Understanding economic development: class 10,6039
-,Pathway to grammar 6,6038
-,Magic of maths: class 2,6037
-,Magic of maths: class 1,6036
-,Madhuram 5,6029
-,Navranga Saral Hindi,6027
-,Makrand hindi pathyapustak,6024
-,Let's enjoy mathematics 5,4112
-,New era physics part 2,6020
-,The great storyteller,6017
-,Bhasha Setu Hindi Pathyapustak,6012
-,Social Science 10,6006
-,Science :textbook for class 10,6004
-,Sucess with mathsahead teachers manual: class 4,5976
-,Sucess with mathsahead teachers manual: class 4,5975
-,Sucess with mathsahead teachers manual: class 2,5974
-,Sucess with mathsahead teachers manual: class 2,5973
-,Start up Science: class 7,5971
-,Genius kidz : Mathematics 8,5970
-,Grammer land: class 4,5969
-,Grammer land: class 3,5968
-,Grammer plus: class 2,5967
-,Thats right GK: class 8,5966
-,Thats right GK: class 7,5965
-,Thats right GK: class 6,5964
-,Sample papers Mathematics :for 2020 exam,5963
-,Active computer,4108
-,vyakaran sambodha: class 5,5962
-,vyakaran sambodha: class 4,5961
-,Nai dip manika: praveshika,5960
-,Compact science 7,5943
-,Gyanodaya Pathyapustak,5929
-,Social Science 10,5928
-,"Oswaal CBSE question bank with complete solutions: OTBA economics, class 12",5922
-,"Oswaal CBSE question bank with complete solutions: OTBA biology, class 11",5921
-,"Active social studies: teachers resource book, class 5",5912
-,"Active social studies: teachers resource book, class 4",5911
-,Heromice : robot attack,5907
-,The magicof vedic mathematics,5906
-,The right path,5903
-,Moral Values,5901
-,"Super simplified biology: open text-based assessment 2015-2016, class 9",5900
-,India facinating and fun facts,5878
-,Knowledge waves 6,5877
-,What's what 6,5876
-,"Yes success : CBSE  sample question papers in social science, term-1",5256
-,The fact finder,5874
-,"Last years solved papers in Commerce stream 2016-17, class 12",5868
-,Outwitting the devil,4106
-,"Last years solved papers in Science stream 2016-17, class 12",5867
-,"Yes success : CBSE  sample question papers in mathematics, term-1",5255
-,Knowledge +,4104
-,"Last years solved papers in Humanities stream 2016-17, class 12",5866
-,Solution to pracice papers of Accountancy 2016-17,5861
-,"Yes success : CBSE  sample question papers in science, term-1",5254
-,"Yes success : CBSE  sample question papers in science, term-1",5253
-,"Yes success : CBSE  sample question papers in English, term-1",5252
-,Madhup Hindi Pathmala,5858
-,Number magic 5,5853
-,Mathematics 10,5852
-,Practise mathematics 5,5851
-,"Yes success : CBSE  sample question papers in social science, term-1",5251
-,"Yes success : CBSE  sample question papers in mathematics, term-1",5250
-,"Yes success : CBSE  sample question papers in English, term-1",5249
-,"Yes success : CBSE  sample question papers in mathematics, term-1",5248
-,"Yes success : CBSE  sample question papers in social science, term-1",5247
-,"Yes success : CBSE  sample question papers in science, term-1",5246
-,World famous personality,5849
-,English First,5835
-,The Grammar Gate 7,5833
-,"Sample question papers Social Science term 1 & 2, class 8",5832
-,"Yes success : CBSE  sample question papers in science, term-1",5245
-,"Sample question papers Mathematics for march 2017, class 9",5831
-,"Sample question papers Science for March 2017, class 10",5825
-,"Question bank with solution in Physics for March 2017, class 12",5822
-,"Sample question papers Mathematics for march 2017, class 12",5821
-,Indian economic development,5815
-,"Xam idea  science term-2,  class 9",5813
-,Marvel civil war: captian America,5802
-,"Xam idea  science term-2,  class 9",5799
-,"Social Science term 2, class 10",5796
-,"Social Science term 1, class 10",5795
-,"Social Science term 1, class 10",5794
-,NTSE,4922
-,"Social Science , class 9",5792
-,"English First: A multi skill Language Course: teacher resource pack, class 8",5790
-,"English First: A multi skill Language Course: teacher resource pack, class 8",5789
-,Self study in social science,4098
-,"English First: A multi skill Language Course: teacher resource pack, class 7",5788
-,"English First: A multi skill Language Course: teacher resource pack, class 6",5786
-,20+ sample papers social science,3696
-,Mathematics 5,5785
-,Success magnet for JEE advanced 2016: Mathematics part2,5783
-,Hot Career opening for gradutes,4670
-,Success magnet for JEE advanced 2016: Chemistry part 2,5771
-,Success magnet for JEE advanced 2016: Chemistry part 1,5770
-,Dictionary of Physics,5767
-,Dictionary of Chemistry,5766
-,Enhance our knowledge 6,4095
-,"Physics: mechanics  JEE(mains+advanced) vol 2 ,class 12",5756
-,"Mathematics: integral calculus JEE(mains+advanced),class 12",5755
-,"Chemistry:organic chemistry JEE(mains+advanced) vol  2,class 12",5754
-,37 years chapterwise topicwise solved paper 2015 IIT JEE  |Mathematics,5752
-,Complete sucess package for online BITSAT 2013,5746
-,"AIEEE explorer, class 12",5744
-,"Question bank in English communicative term 1, class 10",5682
-,"Hindi vyakran,class 9-10",5677
-,"Vyakran darshika, class 9-10",5676
-,"Hindi B, class 9",5675
-,"Xam idea mathematics term 2, class 10",5672
-,"Progress in Computer Science with Python practical book , class 12",5661
-,"Progress in Computer Science with Python text book , class 12",5660
-,"15 sample question papers in Accountancy, class 12",5659
-,Count on tips 5,5227
-,"Mathematics solved question papers term 2, class 10",5658
-,"Science solved question papers term 2, class 10",5657
-,"Social Science solved question papers term 2, class 10",5656
-,You can win (with CD),4652
-,Oxford Hindi English thesarus,4651
-,"Success with maths ahed: teacher''s manual, class 4",5631
-,Sample papers English 10:for 2020 exam,5226
-,"Success with maths ahed: teacher''s manual, class 3",5629
-,"Success with maths ahed: teacher''s manual, class 2",5627
-,Learning mathematics  5,5222
-,"Success with maths ahed: teacher''s manual, class 1",5625
-,Knowledge world,4921
-,"Next explorers EVS, class 2",5611
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 7",5598
-,Sample papers Science: for 2020 exam,5219
-,Stephen Hawings : a biography,4088
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 6",5597
-,Maths quest 5,5215
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 5",5596
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 4",5595
-,Introductory microeconomics,4828
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 3",5594
-,Grammar and Creative Writing,4526
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 1",5592
-,"Mathematics Olympiad , Set B- Class  1-11",5583
-,"Mathematics Olympiad , Set B- Class  1-11",5582
-,"Computers and information technology, Set B- Class  2-11",5581
-,Business Studies,5569
